Weight;Source;Target;Type
54;в;с;Undirected
54;вместе;работа;Undirected
54;второй;делать;Undirected
54;второй;мочь;Undirected
54;два;первый;Undirected
54;двигаться;за;Undirected
54;делать;первый;Undirected
54;делать;сколько;Undirected
54;длина;за;Undirected
54;если;и;Undirected
54;за;можно;Undirected
54;за;она;Undirected
54;за;раз;Undirected
54;за;составлять;Undirected
54;забор;час;Undirected
54;минута;этот;Undirected
53;весь;работа;Undirected
53;два;один;Undirected
53;день;он;Undirected
53;день;турист;Undirected
53;за;каждый;Undirected
53;за;красить;Undirected
53;за;сделать;Undirected
53;и;один;Undirected
53;какой;скорость;Undirected
53;км;турист;Undirected
53;скорость;со;Undirected
52;а;другой;Undirected
52;бригада;мочь;Undirected
52;в;же;Undirected
52;в;количество;Undirected
52;велосипедист;час;Undirected
52;второй;и;Undirected
52;деталь;сколько;Undirected
52;его;за;Undirected
52;за;магазин;Undirected
52;за;продавать;Undirected
52;за;течение;Undirected
52;забор;и;Undirected
52;какой;км;Undirected
52;красить;час;Undirected
52;месяц;рубль;Undirected
52;первый;работать;Undirected
52;проехать;скорость;Undirected
51;в;неделя;Undirected
51;весь;выполнять;Undirected
51;весь;час;Undirected
51;два;труба;Undirected
51;за;такой;Undirected
51;известно;первый;Undirected
51;секунда;скорость;Undirected
50;бассейн;два;Undirected
50;в;до;Undirected
50;день;продавать;Undirected
50;до;минута;Undirected
50;если;с;Undirected
50;же;и;Undirected
50;же;первый;Undirected
50;за;стрелка;Undirected
50;мочь;первый;Undirected
49;в;известно;Undirected
49;в;по;Undirected
49;в;рабочий;Undirected
49;если;какой;Undirected
49;же;на;Undirected
49;за;к;Undirected
49;за;мало;Undirected
49;задача;решать;Undirected
49;машина;час;Undirected
49;один;рабочий;Undirected
49;одинаковый;час;Undirected
49;он;проехать;Undirected
49;первый;работа;Undirected
48;автобус;за;Undirected
48;в;один;Undirected
48;город;час;Undirected
48;и;что;Undirected
48;какой;количество;Undirected
48;на;скорость;Undirected
48;путь;час;Undirected
48;с;сколько;Undirected
48;течение;час;Undirected
47;а;проходить;Undirected
47;день;кг;Undirected
47;за;пробежать;Undirected
47;какой;с;Undirected
47;минута;труба;Undirected
47;на;этот;Undirected
46;а;работать;Undirected
46;два;минута;Undirected
46;если;один;Undirected
46;за;пролететь;Undirected
46;за;это;Undirected
46;забор;красить;Undirected
46;и;красить;Undirected
46;и;месяц;Undirected
46;и;он;Undirected
46;км;месяц;Undirected
46;км;с;Undirected
46;на;с;Undirected
46;он;проходить;Undirected
46;он;что;Undirected
46;ученик;час;Undirected
46;ч;час;Undirected
45;бак;за;Undirected
45;быть;с;Undirected
45;весь;если;Undirected
45;второй;два;Undirected
45;второй;работать;Undirected
45;двое;за;Undirected
45;же;он;Undirected
45;заказ;рабочий;Undirected
45;км;со;Undirected
45;мастер;час;Undirected
45;находить;скорость;Undirected
44;а;бассейн;Undirected
44;бассейн;второй;Undirected
44;быть;в;Undirected
44;в;секунда;Undirected
44;вместе;день;Undirected
44;вспахивать;за;Undirected
44;второй;если;Undirected
44;если;скорость;Undirected
44;за;часть;Undirected
44;и;из;Undirected
44;известно;много;Undirected
44;много;что;Undirected
44;на;проехать;Undirected
43;а;если;Undirected
43;в;деталь;Undirected
43;в;месяц;Undirected
43;в;расстояние;Undirected
43;вместе;сколько;Undirected
43;второй;насос;Undirected
43;градус;за;Undirected
43;день;до;Undirected
43;день;задача;Undirected
43;за;идти;Undirected
43;за;катер;Undirected
43;известно;час;Undirected
43;известно;чем;Undirected
43;км;путь;Undirected
43;минута;стрелка;Undirected
43;он;с;Undirected
43;час;через;Undirected
43;чем;что;Undirected
42;бригада;выполнять;Undirected
42;быстро;сколько;Undirected
42;в;делать;Undirected
42;вода;минута;Undirected
42;двигаться;скорость;Undirected
42;должный;за;Undirected
42;за;задание;Undirected
42;за;расходоваться;Undirected
42;км;по;Undirected
42;месяц;проехать;Undirected
42;метр;секунда;Undirected
42;наполнять;насос;Undirected
42;один;труба;Undirected
42;он;первый;Undirected
41;а;этот;Undirected
41;бензин;за;Undirected
41;в;кг;Undirected
41;в;раз;Undirected
41;в;расходоваться;Undirected
41;в;ч;Undirected
41;весь;на;Undirected
41;весь;сколько;Undirected
41;второй;что;Undirected
41;выполнять;задание;Undirected
41;город;расстояние;Undirected
41;если;известно;Undirected
41;за;некоторый;Undirected
41;за;описывать;Undirected
41;за;свой;Undirected
41;за;съедать;Undirected
41;за;третий;Undirected
41;какой;описывать;Undirected
41;какой;стрелка;Undirected
41;катер;час;Undirected
41;километр;сколько;Undirected
41;км;пролететь;Undirected
41;мало;на;Undirected
41;минута;проехать;Undirected
41;насос;первый;Undirected
41;описывать;стрелка;Undirected
41;по;проходить;Undirected
41;со;ч;Undirected
40;а;наполнять;Undirected
40;а;по;Undirected
40;бассейн;один;Undirected
40;быстро;чем;Undirected
40;в;весь;Undirected
40;в;вода;Undirected
40;в;время;Undirected
40;весь;один;Undirected
40;второй;работа;Undirected
40;два;наполнять;Undirected
40;двое;рабочий;Undirected
40;день;что;Undirected
40;если;рабочий;Undirected
40;если;чем;Undirected
40;если;этот;Undirected
40;же;такой;Undirected
40;за;игорь;Undirected
40;за;изготавливать;Undirected
40;за;израсходовать;Undirected
40;за;наполняться;Undirected
40;за;одновременно;Undirected
40;за;пачка;Undirected
40;за;паша;Undirected
40;за;печатать;Undirected
40;за;угол;Undirected
40;за;человек;Undirected
40;какой;угол;Undirected
40;описывать;угол;Undirected
40;проехать;расстояние;Undirected
40;проходить;сколько;Undirected
40;сколько;скорость;Undirected
40;стрелка;угол;Undirected
39;а;весь;Undirected
39;а;два;Undirected
39;а;работа;Undirected
39;быстро;на;Undirected
39;в;пачка;Undirected
39;в;путь;Undirected
39;вода;час;Undirected
39;второй;заказ;Undirected
39;двигаться;км;Undirected
39;если;работа;Undirected
39;если;тот;Undirected
39;за;расходовать;Undirected
39;за;совместный;Undirected
39;количество;на;Undirected
39;мастер;ученик;Undirected
39;на;работа;Undirected
39;работать;этот;Undirected
39;рабочий;что;Undirected
39;сколько;тот;Undirected
38;а;из;Undirected
38;бак;минута;Undirected
38;бригада;час;Undirected
38;в;ответ;Undirected
38;володя;за;Undirected
38;володя;забор;Undirected
38;володя;и;Undirected
38;володя;час;Undirected
38;вспахивать;поле;Undirected
38;два;поле;Undirected
38;за;кран;Undirected
38;за;равный;Undirected
38;за;таксист;Undirected
38;заказ;мочь;Undirected
38;известно;рабочий;Undirected
38;какой;расстояние;Undirected
38;км;самолет;Undirected
38;км;таксист;Undirected
38;месяц;таксист;Undirected
38;минута;описывать;Undirected
38;на;секунда;Undirected
38;по;течение;Undirected
38;проехать;таксист;Undirected
38;путь;скорость;Undirected
37;а;скорость;Undirected
37;бригада;два;Undirected
37;бригада;работа;Undirected
37;весь;и;Undirected
37;володя;красить;Undirected
37;два;между;Undirected
37;два;на;Undirected
37;день;магазин;Undirected
37;за;завод;Undirected
37;за;мальчик;Undirected
37;за;улитка;Undirected
37;забор;паша;Undirected
37;и;паша;Undirected
37;и;работа;Undirected
37;игорь;час;Undirected
37;из;один;Undirected
37;из;сколько;Undirected
37;м;на;Undirected
37;магазин;продавать;Undirected
37;минута;решать;Undirected
37;минута;угол;Undirected
37;пачка;расходоваться;Undirected
37;паша;час;Undirected
37;первый;третий;Undirected
37;проходить;с;Undirected
36;автобус;час;Undirected
36;в;выполнять;Undirected
36;в;определять;Undirected
36;в;этот;Undirected
36;второй;третий;Undirected
36;выполнять;двое;Undirected
36;выполнять;мастер;Undirected
36;выполнять;чем;Undirected
36;делать;что;Undirected
36;если;то;Undirected
36;же;минута;Undirected
36;же;этот;Undirected
36;за;теплоход;Undirected
36;забор;игорь;Undirected
36;заказ;сколько;Undirected
36;и;игорь;Undirected
36;и;с;Undirected
36;игорь;паша;Undirected
36;километр;он;Undirected
36;красить;паша;Undirected
36;на;сделать;Undirected
36;поле;час;Undirected
36;секунда;сколько;Undirected
36;час;этот;Undirected
35;а;труба;Undirected
35;бензин;км;Undirected
35;бензин;месяц;Undirected
35;бензин;проехать;Undirected
35;бензин;таксист;Undirected
35;быстро;первый;Undirected
35;быстро;час;Undirected
